vina_rank,molecule,canonical_smiles,vina_score_kcal_mol,best_haddock_score,best_model,models_scored,status
190,881,CCc1c(F)cc2c(c1CC)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.93,-81.844,emscoring_4.pdb,20,completed
56,764,Cc1c(I)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.491,-81.778,emscoring_14.pdb,20,completed
174,298,CCc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.051,-81.777,emscoring_10.pdb,20,completed
178,186,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.029,-81.757,emscoring_12.pdb,20,completed
208,966,CCc1cc2c(c(O)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.826,-81.717,emscoring_12.pdb,20,completed
10,733,Cc1c(F)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.748,-81.680,emscoring_12.pdb,20,completed
71,777,Cc1c(O)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.44,-81.668,emscoring_5.pdb,20,completed
115,118,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.288,-81.450,emscoring_16.pdb,20,completed
140,748,COc1cc2c(c(C)c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.186,-81.163,emscoring_10.pdb,20,completed
230,1025,Cc1cc2c(c(O)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.47,-80.809,emscoring_12.pdb,20,completed
49,541,O=C1CCC(N2C(=O)c3cc(F)c(Cl)c(Br)c3C2=O)C(=O)N1,-9.533,-80.765,emscoring_8.pdb,20,completed
246,537,O=C1CCC(N2C(=O)c3cc(O)c(F)c(Br)c3C2=O)C(=O)N1,-8.345,-80.732,emscoring_9.pdb,20,completed
181,148,COc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.013,-80.713,emscoring_16.pdb,20,completed
91,142,O=C1CCC(N2C(=O)c3cc(Cl)cc(Br)c3C2=O)C(=O)N1,-9.381,-80.445,emscoring_5.pdb,20,completed
19,675,Cc1cc2c(c(I)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.651,-80.439,emscoring_12.pdb,20,completed
123,1297,N#Cc1c(O)c(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.263,-80.416,emscoring_19.pdb,20,completed
197,587,CCc1c(O)cc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.914,-80.150,emscoring_15.pdb,20,completed
139,736,CCc1cc2c(c(C)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.191,-80.141,emscoring_5.pdb,20,completed
80,44,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,-9.404,-80.004,emscoring_14.pdb,20,completed
92,641,O=C1CCC(N2C(=O)c3cc(F)c(Cl)c(I)c3C2=O)C(=O)N1,-9.381,-79.984,emscoring_8.pdb,20,completed
20,1326,CCc1cc2c(c(C#N)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.65,-79.857,emscoring_11.pdb,20,completed
66,464,O=C1CCC(N2C(=O)c3cc(I)c(I)c(Cl)c3C2=O)C(=O)N1,-9.457,-79.817,emscoring_6.pdb,20,completed
250,12,O=C1CCC(N2C(=O)c3ccc(Cl)cc3C2=O)C(=O)N1,-8.329,-79.745,emscoring_8.pdb,20,completed
186,996,CCc1cc2c(c(O)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.958,-79.588,emscoring_1.pdb,20,completed
153,192,COc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.141,-79.506,emscoring_19.pdb,20,completed
64,553,O=C1CCC(N2C(=O)c3cc(Br)c(Br)c(Br)c3C2=O)C(=O)N1,-9.469,-79.387,emscoring_14.pdb,20,completed
60,935,Cc1cc2c(c(O)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.476,-79.368,emscoring_10.pdb,20,completed
162,1296,CCc1cc2c(c(C#N)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.109,-79.175,emscoring_11.pdb,20,completed
189,48,COc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.941,-79.062,emscoring_1.pdb,20,completed
